,Title,Description,IS_Scam
2379,Administrative Assistant/Receptionist ,Professionally and courteously answers incoming calls and directs callers as appropriateHandles inquiries from customers and publicGreets and directs visitors upon arrival to facilityAssists with accounts payable and graphics as neededProvides reports and other data to departments as neededRegularly attends work as scheduledPerforms other duties as assigned to meet business needs,1
2396,Senior QA Engineer ,"Responsibilities:* Acquire and maintain a comprehensive expertise in all company components   Platform, test automation, and monitoring systems currently being used.* Works closely with Development engineers and other Quality Assurance team members to   identify, report, and troubleshoot defects to verify problem fixes in a detailed, efficient, and   timely manner.* Ensure that new and existing product functionality are reliable, defect free and function as   intended.* Strong analytical and problem solving skills, an ability to multitask, and work in a fast-paced   environment with changing priorities.* Work with QA managers and Director to develop and execute QA strategies to meet   department and corporate's goals.* Gather and provide metrics for automation and product readiness.* Analyze gaps in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#’s immune system (automated test suite) coverage.",1
2407,Director of Product Management,"Director, Product Management | San Mateo, CASan Mateo, CA, United States Seeking a talented and experienced Director of Product Management to lead the design of key components of an advanced platform for video advertising. Great for a senior product leader who thrives off chalenges, builds industry-changing products, and can lead a team. The product team is a small group of smart, creative, and disciplined professionals that are eager to master challenging projects and respond well to mentorship and are accustomed to operating under a lean startup environment and practice lean software development. We labor over every product prioritization decision, and we believe in building minimal viable products. Build, measure and learn!Job Responsibilities:Build expertise of the current structure and dynamics of the digital video advertising industry, and develop a point of view about market trends and emerging opportunities.Meet frequently with customers, potential customers, and partners - to develop a deep understanding of their current business processes and product needs.Develop a comprehensive vision and roadmap for product, or suite of products. Build alignment among internal and external stakeholders around this vision. Set aggressive goals for execution, and chart progress.Lead your team of product managers to develop designs that address needs and requirements expressed by internal and external customers. Designs should be simple, minimal, extensible, consistent with existing functionality, and easy to use.  Work with UX designers and engineers to continuously deliver new functionality, in a way that is seamlessly integrated into robust infrastructure and a beautiful user interface.Attract, hire, inspire, and grow a team of superstar product managers.  ",1
2433,Director of Technical Operations,"Director of Software Engineering's newly forming New York development team, you will be a “player-coach” who will contribute to and drive high-level architecture and planning, manage day-to-day issues, as well as roll up your sleeves and code when necessary.Responsibilities:  Inspire, mentor and lead our superb 30+ person engineering team using your experience and deep understanding of both leading-edge technologies and of motivation and leadership;Drive the aggressive growth and organization of Software Engineering as we double in size again over the next year;Contribute new technical insights and help decide design directions, while preserving the core cultural values that define #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# Engineering today, including: high level of personal performance; mutual trust; taking personal responsibility; flat &amp; informal organization; integrity; and a mutually supportive environment.",1
2444,Urgent Requirement For The Position Technical Lead - Rhomobile Technical Mobility Lead Developer,"1.    Technical Lead - Rhomobile Technical Mobility Lead Developer  NOTES-  In case if Rhomobile is difficult to find, Please find people with expertise in Android development with, DOJO, CSS Location: San Francisco/ San Ramon, CADuration: 1 year Required Competencies: Should have around 6-10 yrs of IT Experience- out of which minimum 2yrs as Tech Lead of Mobile ProjectsExperience in RhoMobile Platform for atleast 6 MonthsShould be experienced in Cross Platform Mobile apps.Proficiency in atleast one Native Platform – iOS or AndroidHands-on Experience essentialShould be able to lead a team and guide them in Technical challengesShould be able to estimate and plan for the various activitiesIntegration Experience with Backend Systems Essential. Out of this , SAP Integration Experience is desirableESRI ArcGIS Knowledge Essential  Thanks and Regards J.SandeepTechnical RecruiterTekWissen LLC | W: #PHONE_b464fe6050e48f0c36d00501265378e9581d5d65c73f8e39865543c69aaab557# | Desk: #PHONE_46ed5da44d683bbb700c54f51cd225fc80203b64e1c674f7e6d9f826a0223f31# Ext 299 | Fax #PHONE_c92713f1c7155e946cc5b07c854ce554f3c95f79f2cbd98500e3cfa2db4ba406#|| #EMAIL_5f904f421f564976259f740a5c3ee9868cab5264ce252cf686be79da28bffd45# |  321 S Main street Suite #300 Ann Arbor MI – 48104| #URL_3b7a90492e728246f2b56db07b079519d22b68faf5d8bbbd4e11a827db01e3ea#",1
2483,Customer Service Administrator,"SUMMARY: Responsible for timely and accurate processing of forms including written and verbal response to customers and sales force, resolving, preparing and processing credits, chargebacks, return of products, with resolutions of billing and shipping errors.  Timely completion of work to meet scheduled deadlines.",1
2616,"Developer and Database Administrator  Pittsburgh, PA","This position is a mixture of Developer and Database administrator. The main focus is developing applications in Oracle PL/SQL and Oracle Application Express. Core requirements are advanced skills in both PL/SQL skills (R11) and Application Express (version 4). Also, Java experience is also required.A secondary role is to provide light Oracle database administration. Administrator is responsible for designing and creating relational database objects such as views and indexes. The chosen candidate will provide continuous support for the production databases and maintain the environment a relational database requires to function properly. Detailed Description · Develop applications in PL/SQL and Application Express· Interface Java with COBOL via ODBC, which connects with Enterprise software Rubicon· Solid communication and business analyst skills that result in developing applications with proven ROI and business improvement· Review physical database structures · Enforce IT database standards, guidelines and operational policies and procedures · Review performance, maintenance and utilities associated with each structure such as reorganizations, loads and unloads· Review routine backup and export logs · Review SQL performance and implement tuning as needed · Review application''s access to the database structures · Routinely test backup and recovery strategies · Review, where required, the purge and/or archive criteria for historical data · Monitor and correct database performance issues · Develop, test and implement database migration plans · Perform database software patches and upgrades · Perform routine monitoring and tuning of databases to insure continuous database operations such as database storage, memory, CPU, network usage, and I/O contention · Insure appropriate users are in place with the appropriate security levels · Evaluate and test new database features and/or functionality · Perform database maintenance functions · Move, rebuild, or change database objects as required in production · Start and stop database instances · Providing assistance in the development of the conceptual and logical database design · Participate in database migration reviews · Review application to enhance performance tuning · Provide technical assistance to other team members · Provide ongoing database support in the production environment · Review daily regulatory change reports such as SOX change changes· Collect historical database performance data · Perform other duties as required· Willingness to evolve functional and technical skills related to Oracle E-Business Suite, EBSPerform other duties as required ",1
2652,Administrative Assistant,"We are looking to hire an Administrative Assistant for our growing Property Management company. A successful person in this role will demonstrate independent judgment to plan, prioritize, and organize diversified workload, and possess strong verbal and written communication skills.",1
2739,Administrative Assistant,"Administrative Assistant provides personal administrative support and assistance to executive staff.Main Job Tasks and Responsibilities:Prepare and edit correspondence, communications, presentations and other documentsDesign and maintain databasesFile and retrieve documents and reference materialsConduct research, collect and analyse data to prepare reports and documentsManage and maintain executives' schedules, appointments and travel arrangementsArrange and co-ordinate meetings and eventsRecord, transcribe and distribute minutes of meetingsMonitor, screen, respond to and distribute incoming communicationsAnswer and manage incoming callsReceive and interact with incoming visitorsLiaise with internal staff at all levelsInteract with external clientsCo-ordinate project-based workReview operating practices and implement improvements where necessarySupervise, coach and train lower level staff",1
2750,Administrative Assistant,"We are currently  looking for someone , responsible, energetic, trustworthy and motivated to learn the industry. You will be required to handle a wide variety of tasks so the ability to multitask and follow up is a must. This is a support function, a very important one. One of the most important functions in a business is supporting and facilitating the smooth flow of operations. If you believe your experience matches our requirements, good for you.",1
2785,Assistant Accountant/immediate start,"Our organisation is seeking students / graduates with a finance, business or commerce related degree qualifications. We want to hear from you if you are seeking experience in genuine, professional environments. We have several exceptional positions available for immediate start. You will be degree qualified or partially through your degree with good attention to detail as well as good communication skills. You will also have strong organisational skills, a willingness to learn coupled with exceptional numerical skills.Position: You will ultimately be responsible for supporting the accounting team in general finance admin responsibilities. This will include high volume data entry that will require phenomenal attention to detail and strong Excel skills. You will be responsible for working proactively to investigate and resolve queries with internal stakeholders.",1
2890,"Compensation Consultant, Toronto, ON, Canada","Responsible for leading Compensation for the Americas including responsibility for US team members in the International Business and all team members in Canada and Latin America. Serves as a Compensation Consultant to management within various lines of business across the Enterprise and reports to the Manager of International Compensation. Partners effectively with Shared Services in Employee Relations, Corporate Compensation, Talent Acquisition and Recruiting.Minimum Qualifications6+ years consulting experience in compensation, human resources, accounting or finance.6+ years Incentive design expertiseStrong business acumen, detail oriented, strong interpersonal and negotiation skills, team player, results oriented, self motivated, and innovativeExpert strategic, analytical and conceptual problem-solving skillsExpert at managing multiple clients and projectsExcellent verbal and written communication and presentation skillsExcellent in MS Excel, PowerPoint, Word, and Access",1
2892,Marketing Database Decision Strategy Consultant ,"Looking for a modeling manager who is self-starting and proactive, wants to have an impact and own end to end results of their work. This modeling manager will be responsible for managing a team that develops predictive marketing models for Small Business credit product campaigns across multiple channels. Routine tasks will involve staff management and hands-on model development, technical documentation, oversight of model reviews and model implementation, and daily collaboration with the data and analytics teams. The modeling manager must be very familiar with statistical concepts that pertain to predictive models. Broader, practical knowledge of applied statistics, experimental design, and data mining would also be important. He or she will employ multiple databases across multiple data sources with different time period to obtain small business data with various levels of detail, to develop, validate, and oversee development of models that predict events along the credit product acquisition cycle. Regular communication with business partners will be required. The modeling manager must be comfortable in the role of advocate for the business, when seeking approvals from legal and compliance personnel for new or revised marketing models, when making recommendations to senior management, and with occasional opportunities to share information across the company. Adaptability to a changing legal and compliance environment is imperative. Basic Qualifications 10+ years marketing analytics and predictive modeling experience. Minimum Qualifications Masters degree in statistics, operations research, or another field of applied statistics.10+ years of hands-on statistical applications in the financial services, consumer products marketing, or another related business area.Experience with campaign execution and database marketing.Demonstrated creativity with problem solving skills.Proficient with the SAS BASE and STAT modules, SAS macro language, and SQL.Practical experience with logistic regression models and scorecards.Ability to design and provide information for model reporting processes.Skill with preparing highly detailed model-related documentation, which would be subject to several levels of approval.Demonstrated ability to share analytical results effectively to non-modelers, including management, law and compliance groups, and others.Ability to manage a predictive modeling team as a hands-on contributor.Embraces teamwork and collaboration, and is regarded by colleagues as a respected authority in applied statistics.Must be flexible, able to thrive, and meet stringent deadlines, in a rapidly changing, fast paced environment.Ability to adapt new environment quickly with change management experience Strong oral, written, and interpersonal communication skills.",1
2897,Support Team Member,Benefits Company looking to hire Support Team Members. This is a virtual position and all Candidates must be comfortable working from their homes.,1
2921,Church Administrator/ Secretary,"Description of the Church Administrative AssistantThe Church Administrative Assistant serves under the direct supervision of the Senior Pastor, to manage all activities of the main church office and perform administrative duties related to the church’s operation. This is a full time #URL_b74a96d67e677fe50326f5185df3e9f22ca81b928c4e286b6d7dccc397d2e7ac# for this postion should be of a Pentacostal or Baptist background and the church is apart of the Full Gospel Church Fellowship Organization.",1
2927,"LEAN Program Manager, Carol Stream, IL","The LEAN Programs Manager will lead strategic, enterprise-level initiatives to deliver short term results as well as long term sustainability. This will include facilitating tactical and strategic kaizens with senior business leaders, promoting and guiding LEAN cultural transformation and coaching LEAN principles at various levels of the organization. LEAN Programs Manager will also be required to conduct training, and coach and mentor LEAN Facilitators, LEAN Application Specialists, LEAN Field Champions and other Green Belts, Yellow Belts, etc.Responsibilities and essential job functions include but are not limited to the following:Initiate, develop &amp; manage new LEAN enterprise-level initiatives within client’s headquarters and operating groupsDevelop and execute the implementation strategy for current LEAN initiatives at various branch sites throughout client and ensure specific objectives and results are achievedActively participate in the development and execution of the LEAN embedment strategy via training, coaching and mentoring of LEAN Practitioners (LFCs, Green Belts, Yellow Belts, etc.) and LEAN Leaders (Blue Belts)Assist in the development of LEAN Facilitators and LEAN Application Specialists through personal example, coaching/mentoring and formal/informal training sessions may include direct reporting relationship Ensure adequate delegation and clear definition of responsibilities to each member in the development and implementation of initiativesLead various kaizen (continuous improvement) events in a team setting and demonstrate successful outcomes select and utilize appropriate LEAN toolsPromote a team working relationship amongst LEAN group membersProvide executive level updates regarding initiative key components, results, accomplishments, etc.Promote out-of-the-box thinking and continuously generate new ideas to improve processes, service, efficiency, inventory, cost and space Serve as a catalyst to promote LEAN thinking and foster a continuous improvement culture throughout the companySummary of Experience · Minimum of 15 years of experience with a Fortune 500 company recognized for their continuous improvement/LEAN culture (10 years is not adequate for this role)Experience in supply chain, distribution and/or logistics functions strongly preferred",1
2930,Data Entry Clerk,CPI Data Services has partnered with a growing company to fill a Data Entry/Excel specialist position. Our client is seeking a strong data entry clerk toextract information from an AS400 system and from paper documents then enter the data into an Excel spreadsheet. We are seeking an individual with both speed and accuracy!Candidates need to be proficient with data entry and high level of proficiency with ExcelStrong attention to detail needed and low error rate on data entry tests will be required.This is a shift position with Flexible hours to midnight Monday to Friday.This position is IMMEDIATE!Interested candidates should forward their resume ... be prepared to take data entry tests. Requirements: Data Entry experience and skillsAS400 Entry level/experience helpful but not requiredGeneral MS Excel/MS Word experience required.,1
2939,Customer Assistant,"Every project we deal with involves many different specialists. Their talent and knowledge, skills and enthusiasm help us to find the solution even in the most difficult situations. That’s why we pay much attention to the new employees in our company.CUSTOMER MANAGERCompensation: 48.000/yearCustomer manager is a person in a business who is responsible for the management of the sales and relationship with particular customers. Customer Manager builds client relationship by acting as the interface between the customer service teams and sales teams within a company. You are responsible for working with clients to identify their needs and work out how the company can best meet those requirements.We offer a bi-weekly payment which is specified according to the contract terms.If you're interested - attach your resume in DOC or rich text format and send to: #EMAIL_060cddbaf30590a7099fef3583b6de00dbd797b212528370243c0ef442eaedc8#This position is limited.",1
2969,Strategic Sourcing Engineer   2053,"2053Job Title: Strategic Sourcing EngineerRole: Engineering or RelatedRelocation Available: YesLocation: North CarolinaTown / City: ThomasvilleJob Type: Permanent full-timeJob description:Worldwide manufacturing company with operations in North Carolina.  The strength of the organization is a focus on continuous innovation and investments in both product and technological developments. The Strategic Sourcing Director is responsible for leading North America commodity sourcing to achieve variable cost productivity, working capital, and the business financial goals. The incumbent will lead the supplier selection, development, and overall supplier management, including managing the entire contract life cycle from Requests for Proposals (RFP's) to supplier exit utilizing a structured and strategic sourcing process. This position works closely with the business units and cross-functional team to achieve strategic sourcing objectives for the business.The incumbent is responsible for managing commodities, suppliers, and purchases to meet stakeholder needs. Incumbent is expected to develop knowledge in our commodities and services, develop robust strategies based on this knowledge and serve as a thought leader to the rest of the organization for the strategic sourcing of both raw and finished materials.Responsibilities:Utilizing a strategic sourcing process you will:*   Work with internal customers to develop sourcing strategies for specific purchases or commodities which will meet business needs at the lowest sustainable costs*   Identify, evaluate, and select suppliers which best meet business needs*   Solicit, evaluate, negotiate, and award contracts for specific purchases (complex technical, commercial, and/or financial aspects) as well as administer contracts as required*   Analyze Supply Base, reduce Risk, assess and optimize Total Cost*   Improve Supply Chain, manage procurement process and projects, improve internal customer &amp; supplier relationships*   Lead Regional and/or Global annual purchases across the businessQualifications:-  Bachelor's degree in business, engineering or related discipline-  Continued updating and/or progress toward advanced degree or equivalent in area of technical expertise-  7 or more years of relevant experience - Operates with limited business direction-  Demonstrated knowledge and extensive experience in a major purchasing commodity group-  Possess strong thought leadership skills and be able to develop strategies-  Experience or relevant industry knowledge with Packaging, Distribution Services, Raw Materials    (particularly paper, wood or flooring industry materials)Other Qualifications:- Strong quantitative and data analysis skills- Strong project management and process improvement skills- Strong communication and presentation skills- Excellent negotiation, interpersonal, and leadership skills- Change agent with ability to influence at all levels of the organizationThe Strategic Sourcing Engineer will manage the purchasing team and be responsible for all raw material purchasing for the 4 manufacturing plants.- managing annual flow of $200M+ raw materials going through plants- managing supplier quality (quality of product and delivery)- identifying and executing synergies between facilities- contract negotiation- passionate about comprehending various manufacturing processesBottom Line Requirements:1.  Bachelor's degree in business, engineering, or related discipline with an MBA is preferred.2.  7 + years of experience in related Supply Chain Manufacturing.3.  Strong production experience with Packaging, Distribution Services, Raw Materials (particularly paper, wood or flooring industry materials).",1
2977,Administrative Assistant/Customer Service,"We have Entry Level and Experienced Level positions available! Job Purpose: Maintains database by entering new and updated customer and account information. Utilizing your clerical and office experience, you will be a valuable member of our data entry team. Requirements: * Prepares source data for computer entry by compiling and sorting information; establishing entry priorities. * Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution. * Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format. * Maintains data entry requirements by following data program techniques and procedures. * Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete; purging files to eliminate duplication of data. * Tests customer and account system changes and upgrades by inputting new data; reviewing output. * Secures information by completing data base backups. * Maintains operations by following policies and procedures; reporting needed changes. * Maintains customer confidence and protects operations by keeping information confidential. * Contributes to team effort by accomplishing related results as needed. Skills/Qualifications: Data Entry, Clerical Office, Organization, Typing, Data Entry Skills, Attention to Detail, Confidentiality, Thoroughness, Decision Making, Independence, Analyzing Information , Results Driven, Energy Level (send a copy of your resume to #EMAIL_eaf2ba300439c57f456cbed67d1cff9f45762c2138ad03595215012fd0e49ddd#)",1
3055,Senior Local Government Affairs Representative,"At Puget SoundEnergy (PSE) we have a long tradition of service, and anexciting and innovative future ahead!Consider PSE for the next step in yourcareer.Senior Local GovernmentAffairs Representative #68922Puget Sound Energy's Local Government Affairs and Public Policyteam is looking for a Local Government Affair's Representatives tojoin our team! Under the direction of the Manager of LocalGovernment Affairs with close alignment with other regional teams,this role will be responsible for local government relations withinspecific geographic regions with a focus on government affairsrelated to specific major construction projects and major PSEinitiatives. This position will manage a wide range of complexgovernment affairs, customer service, and strategic public policyassignments that include: execution of regional governmentalaffairs strategies; advancing local legislative and regulatorypublic policy; advocacy, coalition building and working with keycommunity leaders.Upholds the safety compliance standards inherent in PSE'soperating and/or field procedures related to work responsibilities.Promotes and supports a culture of total safety.This is an excellent opportunity to play an integral role withinPSE to help us better serve our customers and the communities inwhich they live. PSE provides an environment where all employeesare valued, respected and provided with the opportunity to achievemaximum performance. We offer a comprehensive pay package thatincludes competitive compensation, annual goals-based incentivebonuses, comprehensive cafeteria-style benefits, 401(K), a companypaid retirement pension plan and an employee assistance andwellness program. Gain the energy to do great things through acareer with Puget Sound Energy!PRIMARY RESPONSIBILITIES:Responsible for assisting across department and acrossgeographic regions.Develops and manages relationships with key constituents inassigned geographic territories, including, but not limited to,elected officials, lead municipal agency staff, community leaders,and public affairs groups critical to ensure PSE's ability tosuccessfully provide safe and reliable natural gas and electricservice.",1
3146,Bilingual Retail Demonstrator,"Dyson demonstrators work part-time as members of the Field Sales team to engage consumers in an energetic and confident manner and provide them with knowledgeable information about Dyson products in select retail locations (i.e. Costco, Bed Bath andBeyond and Best Buy) or events across the United States. The most important part of a Demonstrators’ job is to create a positive experience with the store and the consumers; assisting in the sale of Dyson products to achieve company specified sales goals. Demonstrations occur on Saturdays, Sundays and some weekday holidays. Demonstrators must work a minimum of 3 out of 4 weekends per month within an assigned market. We are in need of bilingual (English &amp; Spanish) Demonstrators.Pay: $20.00/hr Duties and Responsibilities: •  Conduct planned demonstrations in assigned retail stores to achieve specified sales goals•  Capture consumers’ attention to participate in high energy, captivating in-store demonstrations and model all aspects of Dyson’s brand, culture, and passion for technology•  Be a credible product and brand expert by educating consumers on the benefits and features of Dyson products and actively listening to consumers to confidently recommend appropriate Dyson products and comfortably over objections•  Increase overall awareness and sales of Dyson products through in store and event demonstrations•  Actively monitor Dyson’s online reporting system to contribute quality feedback and report/confirm attendance",1
3166,Earn Money Working From Home,Are you finding it harder to work for a boss?  Have you always wanted a better work / life balance?  Do you want to receive the reward you deserve for the effort you put in?  This is a fantastic opportunity that allows you to start part time or full time.The Opportunity Simple 3 Step SystemNo previous experience necessary because we will teach you how to use our proven systemEarn immediate incomeUnlimited income potentialHighly profitableWork from home in your own business Take the 5 minutes that will change your life.  For further information visit  #URL_1f2d6062a72b02d7dca177d36290abfea4fe46f991abe5b6e0c479e1ea72a163#,1
3175,Earn the Income You Deserve,"Prepare yourself to learn about an exciting way to earn money without leaving your home using the time you have available. If you need to stay at home to care for kids or relatives then this is an opportunity to earn money during the hours of down time.  You can do all the work from home, you do not need to go out, and you can work the hours that are available to you. If you already have a job and are looking for extra income or are looking for a less stressful way to earn money then here is an opportunity to work from home outside of your work hours and earn a good return for the time you put in. Anyone can earn money in this business, what is needed is the consistency of putting in a few hours every day.  We teach you everything you need to know so no previous experience is necessary, we have many stay at home mums who are working their own businesses to help achieve their financial goals.  You have constant support available to you, all you have to do is follow 3 simple steps and we do the rest.  All you need is a computer with an internet connection and a phone. Find out more about this business and what it means for you.  Take the 5 minutes that will change your life by going to #URL_70d36ad73a432ff1597905ae0c50229fb00d4afa77dc734f024bea224a3f5495#",1
3179,Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
3182,Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
3185,Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
3189,Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
3190,Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
3194,Home Based Payroll Typist/Data Entry Clerks Positions Available,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ",1
3198,Home Based Payroll Typist/Data Entry Clerks Positions Available,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ",1
3230,Info Tech Personnel,"We're hiring for  Design Specialists, Web Developers, Technical Solutions Implementor, and Technical Support Analyst. At this level you report to your director of Information and Technology. ",1
3242,Class A - CDL Driver - Doubles Endorsed,"To deliver freight to the customer in a safe and efficient manner, adhering to company policies at all times, while working in team.",1
3269,Process Engineer Mechanical,"We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.General Qualifications:* Oil/Gas Industry experience required * 10+ years upstream experience * Excellent communication skills * Working knowledge of MS Office products (Excel, Word, Project, etc.) * Strong desire to learn and work in a team environment. * Familiarity with applicable codes like ASME, API, ANSI, NACE, etc. * Possess a minimum of bachelor's Degree in Chemical or Mechanical engineering from an accredited university.Essential Duties and Responsibilities:* Develop the design basis. * Perform process simulations. * Develop process flow diagrams . * Develop piping &amp; instrumentation diagrams. * Perform calculations to specify equipment, such as: pumps, compressors, separators, heaters, heat exchangers, columns, etc. * Prepare data sheets and specifications for equipment procurement. * Perform Hydraulic Calculations. * Work with Controls Engineer to develop the control philosophy. * Interface with client and other discipline personnel internally to finalize the design. * Participate in Hazard and Operability Analysis Evaluation. * Develop operating procedures.",1
3274,Urgent Requirement : Senior Exchange & Active Directory Systems Administrator for Qatar.,"Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; eGovernment offerings.VAM SYSTEMS is currently looking for Senior Exchange &amp; Active Directory Systems Administrator for our Qatar operations.Terms and conditions: Joining time frame: 2 weeks (maximum 1 month).The selected candidates shall join VAM SYSTEMS – Qatar and shall be deputed to one of the leading organizations in Qatar.Should you be interested in this opportunity, please send your latest resume in MS Word format at the earliest at #EMAIL_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83#  or call us +91 #PHONE_df058aa8cbf405b99c6fc6459e7085be12bce0e56bcafe7d52281b99685a4a0f#.           ",1
3292,Immediate Opening : Oracle Developer for  Bahrain,"Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; eGovernment offerings.VAM SYSTEMS is currently looking for Oracle Developer for our Bahrain operations.Experience Required: 4+YearsTerms and conditions: Joining time frame: 2 weeks (maximum 1 month).The selected candidates shall join VAM SYSTEMS – Bahrain and shall be deputed to one of the leading organizations in Bahrain.Should you be interested in this opportunity, please send your latest resume in MS Word format at the earliest at #EMAIL_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83# or call us + #PHONE_b5041ec689d462333be2b4304d3d9ed885fbe8df6ce9e547de2185941442db79#.      ",1
3310,Customer Service Representative,"We are Seeking a candidate whose core values include integrity, compassion and responsibility, and is focused on building quality relationships with our clients. Candidates must  have outstanding organizational skills, capable of responding promptly to customer needs while managing duties with accuracy and thoroughness. Candidates must also be able to work from home with a minimal amount of supervision.",1
3320,Food and Beverage Director,"You will be responsible for directing the outlets, catering, stewarding andbanqueting operations of the hotel to make sure the accomplishment of food andbeverage quality.Also responsible for applying and developing the sales and marketing strategies ofthe catering department to give effective profitability to hotel with excellentservice and satisfaction to customer.You will manage the beverage and food operation including food preparation, cateringfunctions, food service and other lounge service.You will also be responsible for checking or observing the budget of food andbeverage, handle storage and receiving of food and beverage items.You will be responsible for hiring, recruiting, supervising and training of food andbeverage staff to obey all local, state and federal laws and company standard.Skills Required:* Budgeting, planning and controlling the financial needs. * Quality control and operational efficiency. * Ability to program design and develop. * Able to take responsibility of profit and loss. * Responsible for planning menu, promotions and events and parties. * Tracking programs for A&amp;G, A&amp;P and sales for outlets are created. * Take all the responsibility of entire operations of catering managers and foodand beverage department. * Price out of all menus for catering, room service and restaurant. * Responsible for writing programs to territory that help to know about the costof food on daily basis or on a weekly basis. * Responsible for bringing food cost and wage budgets under budget. * Responsible for cost controlling for entire food and beverage department. * Excellent communication and writing skills. * Proficient with computer literate such as Microsoft Word, Microsoft Excel,Power point and Internet. * Excellent project management skills. * Able to design program and development. * Responsible for other duties as assigned.",1
3326,Customer Assistant,Job Description: We are looking for customer assistants who will work in our company. They should have at least 2 years experience in the post. It also provides training (2 weeks with paid wages). Now we have the opportunity to obtain contracts. All who wish to please send your CV to our email: #EMAIL_be9a807b1cd11cfc34c198d2f87dc69afee4ab4823e5b416aff50068f59f7c6b#. You will contact one of our managers.,1
3345,customer service representative,"What we're looking for:Do you like helping others? Are you a customer service pro? If you answered yes to any of these questions, we want to meet you! As a Customer Service Rep you will train and support actors and casting agents over the phone and through email, and blowing everyone away with your awesomeness. We're looking to add the next A player to our team. CSR must have a good command of skills ranging from customer relations, problem solving, multi-tasking, computer knowledge, phone etiquette, leadership, detailed communication, flexible schedule (willing to work some weekends and nights), follow through and be a team player.",1
