Title,Company,Location,Stipend,Duration,Description,IS_Scam
Content Writing,Twin Reality Technologies LLP,Work from home,"₹ 5,000 /month",4 Months,"Selected intern's day-to-day responsibilities include:

1. Write insightful and well-researched content on AR/VR topics, breaking down complex concepts into engaging, reader-friendly articles.
2. Publish and manage posts on the WordPress website, including formatting, SEO optimization, media embedding, and scheduling.
3. Utilize AI research tools like ChatGPT and Grok for efficient topic exploration, fact-checking, and brainstorming relevant content angles.
4. Conduct topic research using AR/VR news, trend data, and technical insights, then integrate findings into content pieces.
5. Edit drafts for clarity, tone, and structure, ensuring consistency with brand voice and readability standards.",0
Social Media Marketing,Venoh,Work from home,"₹ 2,000 - 3,000 /month",1 Month,"Venoh is India's first per-minute platform to instantly talk to influencers, mentors, and therapists     on your terms. We're launching soon and looking for sharp, proactive interns to help us onboard creators, experts, and early users for testing.

Selected intern's day-to-day responsibilities include:

1. Reach out to nano/micro influencers (5K-50K) via Instagram, YouTube & LinkedIn
2. Invite mentors, coaches & therapists to join the Venoh waitlist
3. Approach potential users via DMs to join the tester/feedback list
4. Help test user journeys and collect product feedback
5. Maintain outreach records in Google Sheets or Notion
6. Work directly with the founding team

Who Are You:

1. Strong in written English & DM communication
2. Obsessed with Instagram/YouTube/LinkedIn
3. Confident to pitch, polite to follow up
4. Available 3-5 hours/day

What You'll Get:

1. Internship Certificate
2. Letter of Recommendation for top performers
3. Real startup exposure & hands-on growth experience",0
Video Editing/Making,Digigrove Digital Pvt Ltd,Gurgaon,"₹ 20,000 - 28,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Edit and assemble raw footage into polished and engaging video content   short-form (reels, shorts) and longer form   by trimming clips and structuring narrative flow. 
2. Add effects, music, graphics, and captions to enhance storytelling and align with brand tone using software such as Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, or CapCut.
3. Organize and maintain project files and asset libraries, ensuring backups and a clean structure for easy team access. 
4. Collaborate in conceptual and creative meetings, contributing ideas for pacing, sequencing, and visual storytelling. 
5. Ensure video quality and consistency, incorporating feedback from senior editors or producers and meeting technical/aesthetic standards.",0
Fashion Hustler - Stylist And Content,Influsser,Work from home,"₹ 8,000 - 10,000 /month",3 Months,"We're Influsser     where fashion meets tech and every outfit tells a story. We're on a mission to help people find their signature style and slay every day. We're looking for an Ultimate Fashion Hustler - someone who doesn't just ""like"" fashion     they live and breathe it, dream about it. 

Selected intern's day-to-day responsibilities include:

1. Style killer looks and hunt new brands, create mood boards, create looks.
2. Manage and grow our social media channels (Reels, posts, stories     all the good stuff).
3. Write sassy and informative blogs on styling, trends, and fashion hacks.
4. Create catchy visuals and presentation assets on Canva (no design degree needed, but a good eye is a must!).
5. Handle collaborations, building relationships with creators & brands.
6. Work directly with the founders.

Why join us?:

1. You'll build a strong portfolio and get real-world exposure.
2. You'll learn directly from fashion and tech innovators.
3. You'll get to experiment, create, and truly leave your style stamp.",0
Sales and Marketing,Coherent Market Insights Private Limited,Pune,"₹ 8,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Coordinate with internal teams to ensure the timely delivery of assigned tasks
2. Contribute to weekly sales reports and team discussions
3. Identify and qualify potential clients through research and databases. Initiate outreach via emails and calls to generate leads
4. Assist in preparing client proposals and sales presentations. Support email marketing campaigns and track performance metrics
5. Maintain lead and interaction data in the CRM system",0
Business Development (Sales),Parth Sompura Films LLP,Mumbai,"₹ 8,000 - 10,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Visit government offices and departments to introduce our company, collect tender information, and track leads.
2. Assist in submitting documents, follow-ups, and tender bid filing processes.
3. Maintain an organized database of contacts, follow-ups, and departmental communications.
4. Translate communication (oral and written) into Marathi where required during departmental visits.",0
Inside Sales,ATA Analytiq Private Limited,Panaji,"₹ 12,000 - 75,000 /month",4 Months,"Selected intern's day-to-day responsibilities include:

1. Identify and research potential clients in target markets.
2. Reach out to prospective customers via calls, emails, and meetings.
3. Deliver compelling product/service presentations to potential clients.
4. Maintain long-term relationships with clients to generate repeat business and referrals.
5. Prepare proposals, negotiate pricing, and close deals in alignment with company policies.
6. Monitor market trends and competitor activities to inform strategy.
7. Maintain accurate records of sales activities and generate regular reports.",0
Social Media Marketing,Coconut Media Box,Mumbai,"₹ 5,000 - 5,001 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist in the creation and implementation of social media marketing strategies to drive brand awareness and engagement. 
2. Create and curate content for various social media platforms, including but not limited to Facebook, Instagram, Twitter, LinkedIn, and YouTube channel.
3. Monitor and respond to comments, messages, and mentions across social media channels in a timely and professional manner. 
4. Research industry trends, competitor activities, and audience preferences to assist in content creation and strategy. 
5. Collaborate with the marketing team to plan and execute social media campaigns aligned with broader marketing objectives. 
6. Utilise social media management tools to schedule and publish posts, track performance metrics, and generate reports.",0
AI Engineer,Zave Orbit Private Limited,Work from home,"₹ 10,000 - 12,000 /month",6 Months,"We are looking for a talented AI Engineer intern to join our team at Zave Orbit Private Limited. If you are proficient in Python, LangChain, Prompt Engineering, Model Evaluation, LLM evaluation, MongoDB, PostgreSQL, REST API, FastAPI, and ORM, we want to hear from you! As an AI Engineer intern, you will have the opportunity to work on cutting-edge projects and gain hands-on experience in the field of artificial intelligence. 

Selected intern's day-to-day responsibilities include:

1. Develop and implement AI algorithms using Python and LangChain.
2. Conduct model evaluation and LLM evaluation to ensure the accuracy and efficiency of AI models.
3. Work with MongoDB and PostgreSQL to store and manage data effectively.
4. Build and maintain REST APIs using FastAPI for seamless communication between AI systems.
5. Utilize ORM to interact with databases and streamline data operations.
6. Collaborate with the engineering team to integrate AI solutions into existing systems.
7. Stay current on industry trends and advancements in AI technology to contribute innovative ideas to the team. 

If you are passionate about AI and eager to learn and grow in a dynamic environment, we encourage you to apply for this exciting opportunity. Join us at Zave Orbit Private Limited and be a part of our mission to revolutionize the future of technology with artificial intelligence.",0
Human Resources (HR),Voyse Digital,Bangalore                                                                (Hybrid),"₹ 5,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Hire candidates for our agency
2. Share assignments with shortlisted candidates
3. Send offer letters to selected candidates
4. Conduct weekly fun or team-building sessions",0
Angular.js Development,TeamLease Regtech,Pune                                                                (Hybrid),"₹ 7,000 - 9,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop and optimize web applications using Angular.
2. Collaborate with the team to implement UI/UX designs.
3. Work with APIs and integrate backend services.
4. Debug and troubleshoot frontend issues.


Note: 2024 Pass out or pursuing candidates with some Angular certification are preferred.",0
Search Engine Optimization (SEO),ABMOD INC.,Jaipur                                                                (Hybrid),"₹ 7,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Conduct in-depth keyword research to optimize website content and drive organic traffic.
2. Assist in developing and executing SEO strategies to enhance search engine rankings.
3. Use tools like Google Analytics to monitor website performance, track metrics, and identify areas for improvement.
4. Work closely with the marketing team to align SEO efforts with business goals.
5. Stay updated on the latest industry trends and best practices to continuously improve SEO tactics.
6. Participate in link-building initiatives to boost our website's authority.
7. Assist with various SEO tasks and projects to enhance online visibility.

Why Join Us?:

1. Hands-On Experience: Gain practical experience in the exciting world of SEO.
2. Collaborative Environment: Work with a dynamic and supportive team.
3. Growth Opportunities: Advance your skills and career in digital marketing.
4. Continuous Learning: Stay ahead with exposure to the latest SEO trends and best practices.

We can't wait to have you on board! Let's start your journey in SEO with Abmod Inc today!",0
Web App Development,D. Sign Softech Private Limited,"Gurgaon, Delhi","₹ 5,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Develop Vue.js themes and UI components, creating responsive, high-quality layouts with clean, reusable code. 
2. Write custom JavaScript logic, implementing interactive features, API calls, and dynamic behaviors across the platform.
3. Maintain and enhance Vue.js applications, fixing bugs, performing performance optimizations, and ensuring code stability.
4. Integrate UI with backend services, collaborating with backend developers to consume RESTful APIs and synchronize data.
5. Join code reviews and team discussions, actively contributing feedback and staying current with Vue.js ecosystem updates and best practices.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
Search Engine Optimization (SEO),ABMOD INC.,Jaipur                                                                (Hybrid),"₹ 7,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Conduct in-depth keyword research to optimize website content and drive organic traffic.
2. Assist in developing and executing SEO strategies to enhance search engine rankings.
3. Use tools like Google Analytics to monitor website performance, track metrics, and identify areas for improvement.
4. Work closely with the marketing team to align SEO efforts with business goals.
5. Stay updated on the latest industry trends and best practices to continuously improve SEO tactics.
6. Participate in link-building initiatives to boost our website's authority.
7. Assist with various SEO tasks and projects to enhance online visibility.

Why Join Us?:

1. Hands-On Experience: Gain practical experience in the exciting world of SEO.
2. Collaborative Environment: Work with a dynamic and supportive team.
3. Growth Opportunities: Advance your skills and career in digital marketing.
4. Continuous Learning: Stay ahead with exposure to the latest SEO trends and best practices.

We can't wait to have you on board! Let's start your journey in SEO with Abmod Inc today!",0
Web App Development,D. Sign Softech Private Limited,"Gurgaon, Delhi","₹ 5,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Develop Vue.js themes and UI components, creating responsive, high-quality layouts with clean, reusable code. 
2. Write custom JavaScript logic, implementing interactive features, API calls, and dynamic behaviors across the platform.
3. Maintain and enhance Vue.js applications, fixing bugs, performing performance optimizations, and ensuring code stability.
4. Integrate UI with backend services, collaborating with backend developers to consume RESTful APIs and synchronize data.
5. Join code reviews and team discussions, actively contributing feedback and staying current with Vue.js ecosystem updates and best practices.",0
Front End Development,TwiLearn EduTech Private Limited,Work from home,"₹ 7,500 - 15,000 /month",3 Months,"Are you passionate about front end development and looking for an exciting opportunity to enhance your skills? Join TwiLearn EduTech Private Limited as a Front End Development intern and work with a dynamic team to create innovative educational solutions. 

1. Collaborate with the design team to implement user-friendly interfaces using HTML, CSS, and JavaScript.
2. Utilize Bootstrap to ensure responsive and visually appealing designs for our educational platform.
3. Develop interactive features and functionalities using AngularJS to enhance user engagement.
4. Work on back-end integration using Node.js to create seamless user experiences.
5. Conduct thorough testing and debugging to ensure high-quality performance of the platform.
6. Stay up-to-date with the latest trends and technologies in front end development to enhance our product.
7. Contribute your creative ideas to continuously improve our platform and provide an exceptional user experience. 

Don't miss out on this incredible opportunity to kickstart your career in front end development with TwiLearn EduTech Private Limited. Apply now and be a part of our innovative team!",0
Data Science,TwiLearn EduTech Private Limited,Work from home,"₹ 7,500 - 15,000 /month",2 Months,"As a Data Science intern at TwiLearn EduTech Private Limited, you will have the opportunity to work on cutting-edge projects that leverage Python, SQL, Machine Learning, NLP, Data Analytics, Deep Learning, and AI technologies. You will collaborate with a team of experienced data scientists and engineers to develop innovative solutions that drive business growth and enhance user experiences. 

Key Responsibilities:
1. Collect, clean, and analyze large datasets to extract valuable insights and trends.
2. Build predictive models using machine learning algorithms to optimize business processes.
3. Develop and deploy NLP models to improve natural language understanding and text processing.
4. Conduct data visualization and reporting to communicate findings to stakeholders effectively.
5. Utilize deep learning techniques to tackle complex problems and improve model accuracy.
6. Research and implement AI strategies to enhance product features and user interactions.
7. Stay current with industry trends and advancements in data science to continuously improve skills and knowledge. 

If you are a passionate and driven individual with a solid foundation in data science and a desire to make a real impact, we invite you to join our dynamic team and be part of our mission to revolutionize the education technology sector.",0
Product Design,CareNx Innovations,"Thane, Navi Mumbai, Mumbai, Panvel Sub-District, Panvel","₹ 12,000 - 16,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist in creating intuitive and visually appealing mobile and web app interfaces by collaborating with product managers and developers to translate user needs into effective UI/UX flows, wireframes, and mockups.
2. Design engaging social media creatives (posts, reels, stories, banners) aligned with the brand's voice and campaign goals for platforms like Instagram, LinkedIn, and Facebook.
3. Develop handouts, brochures, flyers, and presentations to support marketing and sales teams, ensuring visual consistency and readability across formats.
4. Contribute to the creation and refinement of brand assets such as logos, typography, icons, and packaging elements, maintaining a consistent brand identity across all touchpoints.
4. 3D visualization support. 
5. Conduct visual research, analyze design trends, and gather user feedback to support design decisions and help iterate on visual strategies.",0
Human Resources (HR),Paytm,Noida,"₹ 2,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Support the onboarding process for new hires, ensuring a smooth and positive experience.
2. Assist with data entry and maintain accurate records using Excel.
3. Communicate effectively with new employees and internal stakeholders.
4. Contribute to process improvements and special projects as needed.",0
QA Testing Manager,Meru Technosoft Private Limited,Work from home,"₹ 5,000 - 10,000 /month",6 Months,"As a Software Testing intern at Meru Technosoft Private Limited, you will have the exciting opportunity to apply your knowledge of Software Testing, Manual Testing, and Test Automation in a real-world setting. We are looking for a QA/Tester Intern to assist in testing our web and mobile applications. You will help identify bugs, document issues, and support quality assurance processes before product release.

Selected intern's day-to-day responsibilities include:

1. Execute test cases and report bugs
2. Assist in preparing test documentation
3. Perform UI, functional, and regression testing
4. Work with developers to verify fixes

Join us at Meru Technosoft and gain valuable hands-on experience in software testing while contributing to the development of cutting-edge technology solutions.",0
Blog Writing & Email Marketing Manager,Innara AI,Work from home,"₹ 1,500 - 2,000 /month",3 Months,"Do you love writing stories that educate and inspire? Excited about creating emails that people want to read? We're on the lookout for a creative and proactive Blog Writing & Email Marketing Intern to join our team!

Selected intern's day-to-day responsibilities include:

1. Write 4-5 blog posts per week to boost our SEO and bring valuable content to our community
2. Send out 2 email newsletters per week to keep our audience engaged and informed
3. Work closely with the team to brainstorm new content ideas that align with our brand and goals
4. Help increase website traffic and brand visibility through strategic, SEO-friendly writing

Why join us?:

1. Hands-on experience and ownership of real projects
2. A supportive team that values creativity and growth
3. Flexible working style and plenty of learning opportunities
4. A chance to make a real impact and see your work come to life",0
Content Writing,Midas Hygiene Industries Private Limited,Work from home,"₹ 2,800 - 3,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Research home cleaning products, pest products, and DIY contents
2. Generate engaging headlines and captivating introductions to capture readers' attention on Google Discover, Facebook, and Twitter
3. Work on fact-checking, proofreading, and editing articles for publication
4. Monitor news trends and identify potential story ideas to pitch",0
Digital Marketing,EzeiaTech Systems Private Limited,Gurgaon,"₹ 10,000 - 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Understanding the firms' goals/objectives & their entire digital marketing needs including email marketing, social media, and display advertising.
2. Growing and expanding the company's social media presence.
3. Writing content for the company's blog or website.
4. Develop and implement creative digital marketing strategies to enhance brand awareness and generate leads.
5. Manage and optimize social media platforms to engage with the target audience and increase follower base.
6. Assist in designing and implementing email marketing campaigns to drive customer engagement.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
Human Resources (HR),Greno Mark India,"Ghaziabad, Kaushambi, Ghaziabad","₹ 12,500 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Sourcing candidates and updating their profiles in the system
2. Matching candidates and conveying the job profile
3. Screening, short-listing, and scheduling an interview for the candidates
4. Handling regular follow-ups with the candidates
5. Updating systems/reports regularly",0
Cybersecurity Outreach & Digital Relations Manager,EH1 Infotech,Work from home,"₹ 3,000 - 5,500 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Work with the outreach team in initiating professional conversations with business leaders
2. Support in organizing services/product discussions and follow-ups
3. Coordinate basic digital communication tasks and report weekly progress",0
Content Writing,Zoop.One,Pune,"₹ 8,000 - 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist in planning and executing digital marketing campaigns.
2. Create engaging content   social media posts, blog snippets, emailers   for platforms like Instagram, Facebook, and LinkedIn.
3. Support the development of marketing collaterals, including basic graphic design using Canva.
4. Conduct market research to identify emerging trends, competitors, and audience insights.
5. Help set up and analyze Google Analytics and Search Console reports.
6. Support email newsletter integration and content distribution.",0
Digital Marketing,Aakash Sharma,Work from home,"₹ 5,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Schedule & manage posts across multiple social media platforms
2. Assist in running and optimizing Meta (Facebook/Instagram) ads
3. Work on Off-Page SEO activities (backlinking, directory submissions, guest posting)  
4. Coordinate with the core team for day-to-day digital activities
5. Learn and take initiatives for growth-oriented tasks

What You'll Get:

1. Certificate of Internship
2. Hands-on learning from live projects
3. Potential full-time opportunity post internship
4. Exposure to real client work across multiple industries",0
Full Stack Developer,Listerr - An Indian Marketplace,Work from home,"₹ 15,000 - 20,000 /month",3 Months,"Are you a tech-savvy individual with a passion for developing cutting-edge web applications? Listerr, a thriving Indian Marketplace company, is seeking a talented Full Stack Developer intern to join our dynamic team. 

Selected intern's day-to-day responsibilities include:

1. Collaborate with the team to design and implement innovative solutions using JavaScript, Node.js, Express.js, and React
2. Develop and maintain responsive web interfaces with HTML5 and CSS3
3. Create and integrate RESTful APIs to enhance user experience
4. Manage databases efficiently using SQL and NoSQL technologies
5. Utilize Git and GitHub for version control and collaboration
6. Participate in code reviews and quality assurance processes to ensure optimal performance
7. Stay updated on the latest industry trends and technologies to improve our platform continuously

If you are a driven individual looking to gain hands-on experience in a fast-paced environment, apply now and be part of our exciting journey at Listerr!",0
IT Development And Workflow Automation,Finish Line Athlete,Work from home,"₹ 2,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Create data extraction and cleaning environments, developing scripts to automate preprocessing and transform raw data into analysis-ready formats like CSV or JSON 
2. Develop workflow automations, actively integrating AI tools (e.g., Python scripts, RPA) to streamline repetitive tasks and improve efficiency 
3. Build dashboard tools powered by AI, leveraging visualization frameworks to present real-time insights on key metrics 
4. Design and implement web portals or app features, supporting integration with backend data systems and user interfaces 
5. Assist in automating reporting pipelines, using AI-driven ETL to ensure smooth flow from data ingestion to dashboard presentation",0
Brand Management,Infotrends Software Solutions Private Limited,Hyderabad,"₹ 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Assist in planning, promoting, and executing online webinars and offline activations that bring our industrial community together. Plan and execute our brand properties like podcast, educational webinars, and even launch new ones in the future.
2. Support the creation and distribution of content across LinkedIn, Facebook Instagram, YouTube, newsletters, and blogs. Help maintain brand tone and storytelling across all touchpoints.
3. Work closely with the digital team, designers, and video editors to bring your content pieces to life. Coordinate with external agencies and/or freelancers to repurpose content and ensure distribution across relevant channels of communication including social media, email, and WhatsApp.
4. Identify micro and niche influencers in the B2B/manufacturing/tech ecosystem. Help build our community presence across wider audiences.
5. Track brand health metrics, social performance (followership, listening, engagement), and ROI. Help the team connect the creative to measurable impact.
6. Assist with internal brand ambassador campaigns for teams and leadership. Maintain alignment with company vision and values and liaison with product, sales, tech, and HR functions.

This internship is built as a launchpad for a Brand Manager role at ideazmeet. Over 6 months, you'll be mentored directly by the CMO, take on real projects, and build a body of work that could fast-track you into a permanent brand leadership role within our team.",0
Chartered Accountancy (CA),Shah R K & Associates LLP,Mumbai,"₹ 6,000 - 15,000 /month",24 Months,"Selected intern's day-to-day responsibilities include:

1. Assist in statutory, internal, and tax audits across various industries.
2. Support in direct & indirect tax compliance - filing returns, preparing workings, responding to notices.
3. Maintain books of accounts, perform reconciliations, and assist in finalization.
4. Aid in ROC filings and basic secretarial compliance under the Company Law.
5. Coordinate and communicate with clients for data collection and follow-ups.
6. Research tax & regulatory updates and assist seniors in various assignments.
7. Maintain documentation, confidentiality, and deadlines as part of daily work routine.",0
Data Science,Maxgen Technologies Private Limited,Pune,"₹ 7,000 - 12,000 /month",3 Months,"We are seeking a talented Data Science intern to join our team at Maxgen Technologies Private Limited. If you are passionate about Python, Data Science, Machine Learning, Deep Learning, and Artificial Intelligence, then this is the perfect opportunity for you to gain hands-on experience in a dynamic and fast-paced environment.

Key responsibilities:
1. Work closely with our data science team to develop and implement machine learning algorithms.
2. Conduct data analysis and provide insights to help improve business decision-making.
3. Assist in building and optimizing models for predictive analytics and data visualization.
4. Collaborate with cross-functional teams to gather requirements and deliver solutions.
5. Research and stay up-to-date on the latest trends and technologies in data science.
6. Participate in brainstorming sessions and contribute innovative ideas to drive business growth.
7. Take ownership of projects and deliver results within set timelines. 

If you are eager to learn, grow, and make a real impact, then we want to hear from you! Apply now and take the first step towards a rewarding career in data science with Maxgen Technologies Private Limited.",0
Video Editing/Making,Eterna Edits,"Ahmedabad, Gandhinagar","₹ 10,000 - 16,000 /month",6 Months,"As a Video Editor/Creator, you will work on a variety of projects, including wedding films, corporate videos, and YouTube content.

Selected intern's day-to-day responsibilities include:

1. Select the best shots and moments for each video.
2. Perform multi-camera syncing for seamless edits.
3. Design and enhance audio for clear, engaging sound.
4. Edit videos with a strong sense of storytelling, pacing, and visual appeal.",0
Content Writer,ET Edge (Times Group),Gurgaon,"₹ 5,000 /month",3 Months,"We are looking for a motivated and creative Intern to join our editorial team. This internship is an excellent opportunity for individuals looking to gain hands-on experience in digital journalism, get mentorship from experienced editors and journalists and an opportunity to build a portfolio of published work.

Selected intern's day-to-day responsibilities include:

1. Assist the editorial team in researching and writing business news articles, reports, and features.
2. Proofread and edit content for clarity, grammar, and style.
3. Transcribe video interviews.
4. Collaborate with the team to brainstorm and develop story ideas.
5. Help manage and update the website's content management system (CMS).",0
Human Resources (HR),The Living Pixel Co.,Work from home,"₹ 1,000 /month",2 Months,"Are you a talented and motivated individual looking to gain hands-on experience in the field of Human Resources? Look no further! The Living Pixel Nexus is seeking a dynamic Human Resources Intern to join our team. As an intern, you will have the opportunity to work closely with our HR team and gain valuable skills in resume screening, scheduling, interviewing, Google Forms, effective communication, and community management. 

Selected intern's day-to-day responsibilities include:

1. Assist with resume screening and initial candidate assessments
2. Schedule interviews and coordinate with candidates and hiring managers
3. Conduct initial interview screenings to assess candidate qualifications
4. Utilize Google Forms to collect and organize candidate data
5. Assist with the onboarding process for new hires
6. Help with employee relations and community management initiatives
7. Support the HR team with special projects and initiatives

If you are a proactive and detail-oriented individual with a passion for HR, this internship is the perfect opportunity for you to kickstart your career in human resources. Apply now and take the first step towards a rewarding and exciting career with The Living Pixel Nexus.",0
Digital Marketing,White Warbler Communications Private Limited,Pune,"₹ 5,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Manage and post regularly on company social media platforms (Instagram, Facebook, LinkedIn, etc.)
2. Create daily Instagram reels and short-form videos
3. Edit video content for reels and stories using mobile apps or editing tools
4. Research and apply current social media trends and hashtags
5. Engage with followers and monitor platform analytics
6. Coordinate with the creative and content teams for campaigns
7. Support in ideation and brainstorming for social campaigns",0
Search Engine Optimization (SEO),Createx Agency,"Noida, Delhi","₹ 10,000 - 12,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Analyze Domain Authority (DA), Domain Rating (DR), Page Authority (PA), and similar SEO metrics using tools like Moz, Ahrefs, and SEMrush to assess overall domain strength 
2. Evaluate backlink profiles of the company and competitors, identifying high-quality links and opportunities for outreach
3. Flag spammy or toxic backlinks for disavowal using data from Google Search Console, SEMrush, and Ahrefs
4. Track changes in domain metrics over time, monitoring trends, anomalies, and potential impacts on SEO health
5. Benchmark against competitors, comparing domain and page metrics to gauge relative authority 
6. Segment referring domains by quality, relevance, and industry type to prioritize outreach campaigns 
7. Support backlink outreach efforts by identifying high-authority domains for partnerships and link-building campaigns 
8. Maintain regular reports on domain performance, backlink growth, and authority trends 
9. Monitor inbound and outbound link profiles to ensure a balanced and healthy link ecosystem 
10. Collaborate with the SEO team to align link-building strategies with domain authority objectives and SEO goals",0
Legal Research,MEGAFAUNA WELFARE FOUNDATION,"Chandigarh, Kharar, Mohali, Zirakpur, Kalka, Dera Bassi, Panchkula, New Chandigarh",Unpaid,1 Month,"Are you passionate about animal rights and legal research? We have an exciting opportunity for a Legal Research Intern at Megafauna Welfare Foundation! As a key member of our team, you will be responsible for conducting legal research, ensuring statutory compliances, drafting legal documents, and writing legal content. Your English proficiency, both spoken and written, will be crucial in effectively communicating with stakeholders. Proficiency in MS-Word is also required. Join us in our mission to protect and support the welfare of megafauna species around the world!

1. Conduct thorough legal research on various animal welfare issues
2. Ensure compliance with all relevant statutory laws and regulations
3. Draft legal documents, including contracts, agreements, and petitions
4. Write compelling legal content for publications and communication materials
5. Communicate effectively with team members and external partners
6. Assist in organizing and managing legal files and documents",0
Digital Marketing,Stone And Woods,Udaipur,"₹ 6,500 - 15,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Managing our social media handles
2. Learning about On-page and Off-page SEO
3. Learning about blogs and ads
4. Learning about e-commerce platforms
5. Helping with the export sales",0
AI Agent Development,Risee,Work from home,"₹ 5,000 /month",3 Months,"We are looking for a talented and motivated  Full Stack Developer/AI Developer (Remote) Intern to join our dynamic team. The ideal candidate should have a strong foundation in front-end and back-end technologies, specifically ReactJS, NextJS, NodeJS, and Python. Familiarity with AI integration, especially with tools like ChatGPT, is a plus. This role offers an exciting opportunity to work on cutting-edge projects and gain hands-on experience in developing end-to-end web applications.

Key Responsibilities:
- Collaborate with senior developers to design, develop, and maintain full-stack applications.
- Write clean, scalable, and efficient code across the stack using ReactJS, NextJS, NodeJS, and Python.
- Assist in the integration of AI-based solutions (such as ChatGPT) to enhance user experience and improve app functionality.
- Participate in the development, testing, and deployment of new features.
- Troubleshoot, debug, and optimize code to enhance application performance.
- Work closely with team members to understand project requirements and deliver quality results.
- Contribute ideas and innovations that enhance the team's overall productivity and product quality.

Our hiring process:
1. Online Coding Test: Short listed candidates will be sent a coding test to assess front-end, back-end, and problem-solving skills.
2.Technical Interview: Live coding session on ReactJS and NextJS
3.HR/Managerial Round: Align on goals, expectations, and internship details.",0
Interior Design,Aaryavart Centre For Austism And Special Needs Foundation,Work from home,Unpaid,2 Months,"As an Interior Design intern at Aaryavart Centre For Autism And Special Needs Foundation, you will have the opportunity to use your skills in Autodesk 3ds Max, Adobe Photoshop, and Google SketchUp to create inspiring and functional spaces for individuals with special needs. This internship is a chance to make a real difference in the lives of those we serve, while gaining valuable experience in the field of interior design.

Key responsibilities:
1. Collaborate with senior designers to develop innovative design concepts for our facilities
2. Assist in creating detailed 3D models and renderings using Autodesk 3ds Max
3. Use Adobe Photoshop to enhance visuals and presentations for client meetings
4. Conduct research on accessible and sensory-friendly design principles
5. Help with space planning and layout design using Google SketchUp
6. Assist in sourcing materials and furnishings that are suitable for individuals with special needs
7. Support the team in project management tasks and client communication

If you are passionate about using your interior design skills to make a positive impact, we invite you to join our team and contribute to creating inclusive and welcoming environments for individuals with autism and special needs.",0
Video Editing/Making,Concpt,Work from home,"₹ 7,000 - 11,000 /month",2 Months,"Are you passionate about video editing and making? Do you have experience with Adobe After Effects and Premiere Pro? If so, we have the perfect opportunity for you! Join our team at Concpt company as a Video Editing/Making intern and unleash your creativity while gaining valuable hands-on experience.

1. Create engaging and visually stunning video content for our brand.
2. Collaborate with the marketing team to brainstorm and develop new video concepts.
3. Edit and produce high-quality videos that align with our brand voice and messaging.
4. Assist in filming and capturing footage for various projects.
5. Stay up-to-date on industry trends and techniques to enhance video production.
6. Provide input and feedback on video projects to ensure they meet our standards.
7. Help with other video-related tasks and projects as needed.

If you are a self-motivated and detail-oriented individual with a passion for video editing, we want to hear from you! This internship will provide you with valuable skills and experience in a fast-paced and creative environment. Apply now and take your video editing skills to the next level at Concpt company!",0
