Title,Description,IS_Scam
Home Based Payroll Typist/Data Entry Clerks Positions Available,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ",1
UX/UI Design,"Selected intern's day-to-day responsibilities include: 

1. Gather and evaluate user requirements in collaboration with clients and internal teams
2. Illustrate design ideas using affinity maps, process flows and sitemaps
3. Design graphic user interface elements(menus, tabs, widgets etc.)
4. Develop UI mockups and prototypes that clearly illustrate how sites function and look like
5. Create original graphic designs and use existing graphic designs available on stock websites (images, illustrations, sketches, tables) in mockups
6. Prepare and present rough drafts to internal teams and key stakeholders
7. Identify and troubleshoot based on feedback and identified UX problems (responsiveness etc.)
8. Conduct layout adjustments based on user feedback
9. Adhere to style standards based on brand guidelines (fonts, colours, images etc.)
10. Experience using adobe xd, illustrator, photoshop is preferred

Internship details:
Stipend: Rs.10000/-
Work Days: Monday to Saturday (Work from office)
Duration: 3 months 
Location: HSR Layout, Bangalore
Work Hours: 8 hours

Important Note
Please share the link to your portfolio/behance/dribble profile along with your resume, otherwise your application will be rejected.",0
Customer Service/Customer Support,"Selected intern's day-to-day responsibilities include: 

1. Stay in constant touch with consumers and potential consumers with a focus to create sale by providing superior customer experience.
2. Conduct group and individual product demos to customers virtually and offline. 
3. Make out bound calls to existing customers to qualify leads and upsell products or services.
4. Assist with other sales-related tasks as needed.
5. Customer champion, have a customer first attitude and resolve problems/issues faced by customers abiding to service level agreements & ensuring daily average resolutions times go down. 
6. Analyse support and service level data and bring out patterns to identify major issues/problems faced by customers.
7. Be ready to thrive in a fast-paced, dynamic environment, adapt quickly to changing priorities, and enthusiastically take on new and exciting projects.",0
Graphic Design,"Selected intern's day-to-day responsibilities include:

1. Conceptualize and create engaging, original designs for social media, campaigns, and digital platforms
2. Bring fresh, out-of-the-box creativity to every design task-from static posts to storytelling visuals
3. Collaborate with the content and marketing teams to execute cohesive, on-brand campaigns
4. Stay updated with design trends, especially in digital, minimal, and youth-focused aesthetics
5. Deliver high-quality design assets with quick turnaround and attention to detail",0
Content Writing,"Selected intern's day-to-day responsibilities include: 

1. Research industry-related topics
2. Write clear and engaging content
3. Content planning
4. Edit and proofread
5. Collaborate with designers and the marketing team
6. Handle daily tasks and deadlines",0
Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
Bilingual Retail Demonstrator,"Dyson demonstrators work part-time as members of the Field Sales team to engage consumers in an energetic and confident manner and provide them with knowledgeable information about Dyson products in select retail locations (i.e. Costco, Bed Bath andBeyond and Best Buy) or events across the United States. The most important part of a Demonstrators’ job is to create a positive experience with the store and the consumers; assisting in the sale of Dyson products to achieve company specified sales goals. Demonstrations occur on Saturdays, Sundays and some weekday holidays. Demonstrators must work a minimum of 3 out of 4 weekends per month within an assigned market. We are in need of bilingual (English &amp; Spanish) Demonstrators.Pay: $20.00/hr Duties and Responsibilities: •  Conduct planned demonstrations in assigned retail stores to achieve specified sales goals•  Capture consumers’ attention to participate in high energy, captivating in-store demonstrations and model all aspects of Dyson’s brand, culture, and passion for technology•  Be a credible product and brand expert by educating consumers on the benefits and features of Dyson products and actively listening to consumers to confidently recommend appropriate Dyson products and comfortably over objections•  Increase overall awareness and sales of Dyson products through in store and event demonstrations•  Actively monitor Dyson’s online reporting system to contribute quality feedback and report/confirm attendance",1
 Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"This job requires you to have the ability to operate keyboard or other data entry device to enter data into computer or onto magnetic tape or disk for subsequent entry. Inputs alphabetic and numeric information from credit card applications onto an automated credit processing system, other clerical duties as required.Follows set procedures and meets specific throughput standards. Able to work under deadline pressure with minimum supervision, read large dollar figures for long periods of time. ",1
Structural Engineer,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions’ drilling technologies business is part of a world leading supplier of drilling equipment, engineering solutions and project execution to the oil and gas industry.For our engineering office in Stockton-on-Tees, we need highly motivated individuals who can strengthen our team and support our ambitious growth plans within the drilling market.Responsibilities and tasks• Participate in project deliveries with responsibility for global and detail strength calculations of steel structures of a defined product area.• participate in concept studies and reviews• Use of Staad Pro for beam and element modelling and Abaqus for element modelling.• Hand calculations by use of basic formulas for preliminary calculations.• Follow up third part approval from DNV (Det Norske Veritas) and ABS (American Bureau of shipping)• Secure product safety in accordance with established standards.• Maintain and improve product quality and performance• Contribute to competitive product cost.• Advice mechanical engineers in structure issues.• work as partner in an integrated multi-discipline team",1
 Accounting Clerk ,"Job DescriptionVerify, obtain approvals and pay invoices; bill and collect outstanding revenue in a timely, accurate manner in accordance with accounting policies and procedures.Potential Career PathStaff Accountant – Regional Accountant – ControllerEssential Job FunctionsPrepare cash discrepancy reports.Retrieve and process deposits in accordance with hotel standards.Maintain house bank and conduct transactions according to established processes and policies.Issue and redeem cashier banks and conduct audits as needed.Process petty cash receipts and reimbursements.Assist with credit-related activities, including processing of credit applications.Provide customers with accurate and timely invoices, statements, and schedules.Maintain an efficient collection process to include an organized filing and tracing system.Monitor guest ledger, advance deposit ledger and any other related ledgers to ensure proper internal control.Be aware of guest satisfaction scores and work toward increasing departmental and overall guest satisfaction.Follow sustainability guidelines and practices related to HHM’s EarthView program.Practice safe work habits to ensure safety.Perform other duties as requested by management.",1
Accounts Receivable Specialist,"We are looking to hire an Account Receivable Specialist who wants to be part of a fast-paced startup company.  The ideal candidate will have had collections experience for an enterprise software-as-a-service (SaaS) company and can work in a fast-paced environment. Responsibilities:  You Will Take Ownership of: Accounts receivable activities by initiating the collection process of overdue accounts, closely monitoring aging accounts, and reconciling A/R to the General Ledger.Researching customer deductions and coordinating resolution, where appropriate, updating system notes with the status of all collection activity.Responding to customers’ requests for documentation, which may include (but is not limited to) providing invoice copies and statements. Customer billing files and ensuring information is complete, accurate and compliant with standard operating procedures.Researching collection activity and status; following general operating procedures in an effort to recommend amounts for write-off.Reconciling customer accounts and preparing adjustments.Ongoing communication with billing staff to resolve accounts receivable issues.Periodically, preparing reports on the status of accounts receivable to management.  This may include but is not limited to preparing reports for finance and sales management on past due customers and preparing monthly credit summary reports.Support for monthly accounting close and case reconciliations.",1
CSR,We are seeking customer service reps for our company.,1
Sales Consultant,"Selected intern's day-to-day responsibilities include: 

1. Calling the customers
2. Resolving customer issues
3. Client management",0
Telecalling,"Looking for individuals who possess a mindset of perseverance and are willing to take on challenges with a strong sense of determination and motivation.

Selected intern's day-to-day responsibilities include: 

1. Engage with potential client to understand their business needs and technical requirements.
2. Utilize persuasive communication skills to effectively present product features and benefits during video calls.
3. Build and maintain strong relationships with clients through video interactions, addressing their queries and concerns. We believe in hiring partners rather than just employees.
4. Stay updated on industry trends and competitors' offerings to provide insightful recommendations to clients during video calls.",0
Video Editing/Making,"Selected intern's day-to-day responsibilities include:

1. Edit and produce engaging short-form video content (reels, shorts, ads)
2. Create motion graphics using Adobe After Effects
3. Cut, trim, and enhance footage using Adobe Premiere Pro and After Effects
4. Design social media creatives using Photoshop (and AI tools like Flora/Topview if needed)
5. Support with concept-to-final delivery of creative assets
6. Stay updated with trends in content, editing, and design
7. Maintain organized project files and deliver within deadlines",0
Video Editing/Making,"Selected intern's day-to-day responsibilities include: 

1. Edit brand reels
2. Come up with creative content ideas
3. Collaborate with the team",0
Health & Environmental Professional,                                            ,1
Backend Development,"We are looking for a motivated and curious Software Development Engineer I (SDE I) to join our engineering team. As an SDE I, you will work alongside experienced engineers on production-grade systems, gain hands-on experience with modern DevOps practices, and support machine learning integrations. This is a great opportunity for someone who wants to build strong backend fundamentals while
also getting early exposure to DevOps and real-world ML applications.

Selected intern's day-to-day responsibilities include:

1. Assist in designing and building scalable APIs and backend services.
2. Write clean, maintainable, and testable code in Python ( Django/Flask) and JavaScript (Node.js).
3. Participate in code reviews and help improve system design and performance.
4. Work with relational and NoSQL databases, including schema changes and optimization.
5. Help maintain and enhance CI/CD pipelines and deployment workflows.
6. Hands-on with containerization (Docker) and cloud infrastructure (AWS/GCP/Digital Ocean).
7. Monitor application health, log performance metrics, and contribute to reliability
improvements.
8. Support integration of ML models and APIs (e.g., OpenCV, LLMs like OpenAI).
9. Assist in model deployment, testing, and performance tuning in production
environments.
10. Collaborate with ML engineers and gain exposure to real-world machine learning systems.",0
Senior Mechanical Design Engineer,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureIn January 2013, Aker Solutions acquired Enovate Systems Ltd, a leading technology company focussed on subsea well control equipment. Creating solutions that allow our customers to operate in safer, more effective ways, Enovate is a dynamic and exciting part of the Aker Solutions group. We are looking for talented and ambitious team members who can help Enovate to take the next step in its journey of growth.Responsibilities and tasks:Plan, direct, and coordinate design project activities to ensure that goals or objectives of the design projects are accomplished within prescribed time frame and funding parameters. Establish work plans and personnel requirements for design project activities. Prepare status reports, schedules and plans for design projects and provide technical contact point for external clients.To work in a safe, responsible and cost effective manner, in full compliance with the Company’s safety and quality management systemsGenerate conceptual designs or customise existing designs for proposals or projects from customer or internally generated specifications and prepare design layouts using 2D AutoCAD or 3D (Solidworks) drawing packagesVerify design where necessary using classical analysis techniques (bending, buckling, shear, bearing, and pressure vessel). Assistance will be enlisted where more complex analysis is required. Analysis will require to be formalised for inclusion in product design files and Product Design DocumentationPresent designs to engineering staff during internal design reviewsPrepare and review detail drawings (selecting raw material as necessary) prepared from design layoutsMake necessary engineering changes to product drawingsParticipate in investigation and disposition of non-conformances or improvement actionsGenerate equipment assembly, test, FAT, handling, storage, rework, maintenance and commissioning procedures as requiredProvide necessary support to the various internal departments (manufacturing, shop, planning, QA, commercial, purchasing, assembly etc) as equipment is progressed through the facility.Field service as required for training and offshore installationDevelop more junior members of department through technical coaching and mentoring Provide competent input to risk assessments related to equipmentInsert, maintain and review data on electronic register system.Ensure accurate recording of work time and duties to allow tracking of departmental expenditureComply with the Enovate Systems QHSE Management Systems, including QHSE Policies and Procedures.Work in accordance with the information and training provided and not undertake any task for which authorisation and/or training has not been given.Take reasonable care to prevent harm to themselves and consider the potential for harm to others or the environment that may be caused by their acts or omissions.Report any hazardous defects in plant, equipment and workplace, or shortcomings in the existing controls, to a responsible person without delay.Refrain from intentionally misusing or recklessly interfering with anything that has been provided for Health, Safety and/or Environmental reasons.Dispose of waste using the correct waste streams and avoid energy waste.Comply with and be bound by Enovate Systems Employee Code of Conduct, Equality &amp; Diversity and Intellectual Property Policies.",1
,,0
Senior Engineering Product Manager,"Senior Engineering Product ManagerAs a member of the Service Provider Engineering team, you will be responsible for managing the development of broadband DSL products targeted at service providers that provide Home Gateway, voice gateways, wireless adapters, IPTV and Voice over IP (VoIP) services. These products will incorporate one or several of the following technologies: DSL, Routers, 802.11 Wireless, VPN, Firewalls.  The primary function of an engineering product manager is project management and technical oversight. The individual manages the ODM to ensure that products are delivered in a timely fashion to a high quality and in accordance with the procedures and systems. In addition the individual oversees the activities between the component vendors and the ODM. Within the service provider group, another important project management aspect is working with the sales engineers to get products approved at service providers. The individual must manage the technical issues that arise during the approval process and ensure a rapid resolution by working with and through the sales engineers, ODMs and Component vendors. A word from the Recruiter: ""Some of the exciting things that retain engineers here are the new technologies that we integrate into our products. Most People hear about these technologies 9 months after the product development has launched, our engineers actually start learning about the new technologies in advance of any silicon introductions. In most cases, we are an early partner to silicon vendors and help guide the silicon features. This is extremely rare for many of the new members, once they do the first project they want more and more. As you can imagine the value of that engineer is much greater then when they walked in the door."" ""Most engineers that I interview have been disappointed by their employers, and when asked how much ownership they have of the product they developed, the answer is always something like : I only did this this portion of the software, or some portion of the chip, or some portion of the hardware. Not much of an empowerment here.  Here, the PE is the complete owner of every molecule of the product, including mechanical, operation, finance, cost, etc. This empowerment is another added value boost an engineer could benefit from, this value is rare and will push the engineer in the direction of someday running a business end to end with a larger responsibility and scope. The more of these projects they take the faster they reach that level of career growth and maturity."" This is what not shared on the JD. ""How you will mature your career."" Job Responsibilities: • For assigned projects, take overall responsibility for delivering the product to production; including requirements generation, hardware, firmware, documentation, regulatory testing and Agile release requirements, per Netgear policies. It is expected that projects should be managed with minimal supervision. • Project management. Develop and maintain project plans. Keep all stakeholders informed of product status at all times• Project Execution. Manage the suppliers' (ODM, chip vendor, etc.) product development process. • Product Verification. Manage verification testing of product features and performance. • Customer Certification. Manage qualification of products with customers.• Documentation. Provide input for manuals, help files, application notes, marketing materials and tech support.• Support. Resolve any 3 rd level technical support escalations. • Track industry technology developments, supplier roadmaps, standards bodies and make product recommendations",1
Finance,"Selected intern's day-to-day responsibilities include:

1. Analyzing market structure and trends
2. Conducting detailed stock analysis
3. Performing stock research using fundamental and technical indicators
4. Researching company profiles, financials, and performance metrics",0
Civil Engineering,"Selected intern's day-to-day responsibilities include: 

1. Support waterproofing projects with on-site activities, including installation and quality control.
2. Preparing Bill of Quantities (BOQs) and quotations for projects.
3. Communicate effectively with project teams, suppliers, and clients.
4. Conduct measurements and inspections to ensure compliance with project specifications.
5. Assist senior engineers in resolving technical issues and challenges.
6. Document project progress and maintain accurate records.
7. Adhere to standards and safety regulations on-site.
8. Contribute to continuous improvement initiatives and process enhancements.",0
Customer Service Representative,"We are Seeking a candidate whose core values include integrity, compassion and responsibility, and is focused on building quality relationships with our clients. Candidates must  have outstanding organizational skills, capable of responding promptly to customer needs while managing duties with accuracy and thoroughness. Candidates must also be able to work from home with a minimal amount of supervision.",1
Social Media Manager,"Selected intern's day-to-day responsibilities include: 

1. Design engaging creatives and short-form videos using Canva and other editing tools.
2. Assist in managing and scheduling content across social media platforms (Instagram, LinkedIn, YouTube.
3. Research and identify content trends, hooks, and formats relevant to our themes
4. Support in writing compelling captions, reels scripts, and post copy.
5. Track and analyze content performance using platform insights and analytics tools.
6. Assist in community engagement   responding to comments, DMs, and monitoring sentiment.
7. Stay updated with social media tools, best practices, and emerging features.",0
Email Marketing,"Selected intern's day-to-day responsibilities include sending emails to our partner schools daily using bulk email software, YAMM, Mailmeteor, etc. 

Notes: 

1. Training will be provided free of charge. We will supply the email addresses of the schools and letters, as well as the subject line and email content that needs to be sent. The intern only needs to copy, paste, and send the emails.
2. Interns do not need to use their personal social media accounts for promotion.
3. Saturdays are off.",0
Content and Social Media Marketing,"As a social media intern, you will be the voice of Wandermonks online. You'll help build and grow our digital presence through engaging content and strategy. 

Selected intern's day-to-day responsibilities include:

1. Curating and creating Instagram/Facebook posts, reels, and stories
2. Managing the content calendar and daily posting
3. Engaging with followers (DMs, comments, polls, etc.)
4. Growing organic reach and brand visibility
5. Collaborating on campaign ideas and promotions
6. Assisting in trip promotions, influencer collaborations & live coverages",0
Backend Development,"Are you a Backend Development whiz with skills in Node.js, Express.js, REST API, and MySQL? Crossroads Helpline is seeking a dynamic intern to join our team and help make a difference in the world!

Key responsibilities:
1. Work closely with our development team to design and implement backend solutions for our helpline platform.
2. Collaborate on the development of RESTful APIs to ensure seamless communication between the frontend and backend systems.
3. Utilize MySQL databases to store and retrieve data efficiently and securely.
4. Assist in troubleshooting and debugging backend issues to ensure optimal system performance.
5. Participate in code reviews and contribute to the continuous improvement of our development processes.
6. Stay up-to-date on industry best practices and technologies to enhance our backend capabilities.
7. Contribute ideas and solutions to innovate and enhance our helpline services for those in need.

If you are passionate about using your backend development skills to make a positive impact, apply now to join our team at Crossroads Helpline!",0
Digital Marketing,"As a digital marketing intern at Web3Task, you will have the opportunity to showcase your skills in Adobe Photoshop, Video Editing, Canva, Social Media Marketing, LinkedIn Marketing, Logo Design, Image Editing, Video Making, Critical Thinking, Creative Thinking, Problem Solving, Capcut, Filmora, Adobe After Effects, and Search Engine Optimization (SEO). Join our dynamic team and help us elevate our online presence to new heights!

Selected intern's day-to-day responsibilities include:

1. Create visually stunning graphics and videos for social media platforms.
2. Develop and implement strategic social media marketing campaigns.
3. Design eye-catching logos and branding materials for various projects.
4. Edit and enhance images to ensure they meet brand guidelines.
5. Produce engaging video content to promote products and services.
6. Use critical thinking and creative problem-solving skills to optimize marketing strategies.
7. Utilize Capcut, Filmora, Adobe After Effects, and SEO techniques to drive traffic to our website.",0
Graphic Design,"Selected intern's day-to-day responsibilities include:

1. Establish the look and feel for various interfaces, including websites, mobile devices, and apps
2. Design logos, icons, and infographics for the mobile application
3. Participate in design ideation sessions and discussions with clients
4. Review the website/app for quality and design consistency
5. Discuss design decisions
6. Create original graphic designs (e.g., images, sketches, and tables)",0
Digital Marketing,"Looking for someone who's curious about digital marketing, has played around with Meta/Google Ads, and wants to learn how performance marketing actually works, beyond just running ads.

 Selected intern's day-to-day responsibilities include:

 1. Help run paid campaigns (Meta, Google)
 2. Work on creatives, copy, and landing pages
 3. Analyze performance + run small experiments",0
Operations & Admin (EdTech/Online Tutoring Business),"Selected intern's day-to-day responsibilities include: 

1. Assist with scheduling online classes and managing calendar invites
2. Maintain and update student and tutor records in Excel/Google Sheets
3. Draft professional communication to tutors, parents, or clients
4. Help with content preparation for social media (e.g., creating reels, simple posts in Canva)
5. Collect and organize feedback from students and parents
6. Assist with data entry and daily operational tasks
7. Help in screening tutor applications and coordinating demo classes
8. Generate simple reports as required for management review",0
Online Typist From Home,"We're looking for self-motivated individuals who are interested in working from home by performing online data entry work, and other types of work from home duties. . You can choose to work: Full-time, Part-time, Flexible, Temporary, or in a Permanent position. You will be able to select your position in: customer support, typing, data entry, email support and more.We have positions ranging from entry level with a starting pay at $12 per hour and up to six figure salary positions.These positions not only pay competitive wages, but also offer flexibility that will give you full control over your work schedule.Home Office SuppliesComputer with internet accessQuiet work area away from distractionsMust be able to work independently and get the job done with little guidance.Must Apply Online At: #URL_417276ac5438650aa78c2c58617f773cdb9494ed6a0d63447de07c782829a228#-#URL_6c4ffad8fe9cb38c2ae5c761c0028893f9ecfb299e88db7d5dd85e0b7ba65666#",1
Content Writing,"Selected intern's day-to-day responsibilities include: 

1. Research home cleaning products, pest products, and DIY contents
2. Generate engaging headlines and captivating introductions to capture readers' attention on Google Discover, Facebook, and Twitter
3. Work on fact-checking, proofreading, and editing articles for publication
4. Monitor news trends and identify potential story ideas to pitch",0
HR Generalist,"Selected intern's day-to-day responsibilities include: 

1. Provide tailored guidance to professionals in managing their job applications, enhancing LinkedIn profiles, and improving interview readiness to ensure a smooth and engaging candidate experience.
2. Analyze labor market trends, industry shifts, and employer requirements to provide strategic input that supports both talent development and internal HR planning.
3. Monitor employee and candidate engagement throughout the hiring process, evaluate outcomes, and use feedback to fine-tune HR strategies and enhance overall service quality.
4. Work closely with employees, candidates, and cross-functional teams to implement initiatives that improve HR services, boost operational efficiency, and foster a positive experience across all touchpoints.",0
Business Development (Sales),"Selected intern's day-to-day responsibilities include:

1. Research and identify potential leads through various channels, including online research, social media, and networking events
 2. Develop and maintain a database of leads and prospects for future reference
 3. Collaborate with sales and marketing teams to develop effective lead generation strategies
 4. Stay up-to-date with industry trends and best practices for lead generation
 5. Manage and prioritize multiple tasks and projects to meet deadlines
 6. Contact and qualify leads through phone calls, emails, and other communication methods
 7. Work on social media management (posting, sharing, writing, etc.)",0
,,0
AI Engineer,"We are looking for a talented AI Engineer intern to join our team at Zave Orbit Private Limited. If you are proficient in Python, LangChain, Prompt Engineering, Model Evaluation, LLM evaluation, MongoDB, PostgreSQL, REST API, FastAPI, and ORM, we want to hear from you! As an AI Engineer intern, you will have the opportunity to work on cutting-edge projects and gain hands-on experience in the field of artificial intelligence. 

Selected intern's day-to-day responsibilities include:

1. Develop and implement AI algorithms using Python and LangChain.
2. Conduct model evaluation and LLM evaluation to ensure the accuracy and efficiency of AI models.
3. Work with MongoDB and PostgreSQL to store and manage data effectively.
4. Build and maintain REST APIs using FastAPI for seamless communication between AI systems.
5. Utilize ORM to interact with databases and streamline data operations.
6. Collaborate with the engineering team to integrate AI solutions into existing systems.
7. Stay current on industry trends and advancements in AI technology to contribute innovative ideas to the team. 

If you are passionate about AI and eager to learn and grow in a dynamic environment, we encourage you to apply for this exciting opportunity. Join us at Zave Orbit Private Limited and be a part of our mission to revolutionize the future of technology with artificial intelligence.",0
Empowering Social Entrepreneurs,"We are looking for an enthusiastic and dedicated social work intern to join our team. As an intern, you will assist with identifying and providing social welfare services to underprivileged communities in India.

Selected intern's day-to-day responsibilities include:

1. Assisting in the development of interactive sessions and activities for the communities and hiring an intern for the same.
2. Working on field visits to the local areas near their location to help the needful.
3. Supporting the advertising of the organization by sharing the reel of the social work done by them on social media.
4. Working with our fundraising team to ensure effective services.",0
Graphic Design,"As a Graphic Design intern at Neckto3D, you will have the exciting opportunity to showcase your creativity and skills in Adobe Photoshop, Adobe Illustrator, CorelDRAW, and Adobe Creative Suite. You will work closely with our design team to bring our clients' social media accounts to life. 

Selected intern's day-to-day responsibilities include:

1. Collaborate with the design team to create social media creatives 
2. Develop eye-catching graphics for our website, social media, and marketing campaigns
3. Create engaging visual content for our email newsletters and promotional materials
4. Help maintain and update our brand guidelines and design assets
5. Stay current on design trends and best practices to continuously improve our visual identity
6. Support the team with any additional design tasks as needed 

If you are a creative self-starter with a passion for design and a keen eye for detail, we want to hear from you! Join us at Neckto3D and gain valuable hands-on experience in the exciting world of graphic design.",0
Graphic Design,"Selected intern's day-to-day responsibilities include: 

1.Design digital and print marketing materials including social media creatives, brochures, banners, presentations, and event collaterals.
2.Collaborate with the marketing and event teams to understand creative requirements and translate ideas into engaging designs.
3.Develop visuals for campaigns, advertisements, and branding initiatives aligned with the Eventkepers brand identity.
4.Work on logo design, motion graphics, infographics, and reels/thumbnails for digital platforms.
5.Edit photos and videos to enhance content across channels.
6. Ensure final graphics are visually appealing, error-free, and consistent with brand guidelines.
7. Stay updated with the latest trends in design, social media, and branding to ensure innovation.",0
CIVIL PROJECT ENGINEER,"Job Responsibilities;The Project Engineer is responsible for everyday project activities, quality control and project delivery, overseeing all phases of the project from design to contract document and specification production, shop drawing checks, site visitation and project closeout. Has excellent technical knowledge within civil engineering. Possesses effective management skills and is able to plan, direct and monitor all aspects of projects. Supervision received is essentially administrative with assignments given in general terms and objectives. Makes civil engineering design decisions independently. Directs and coordinates the workload with project team. Coordinates with other internal and/or external team members. Has extensive knowledge and understanding of the project development process including construction, retail design, site planning, site engineering, structural and MEP criteria as it relates to civil engineering. Adheres to company policies and can articulate Greenberg Farrows mission statement to team members and clients. Reports to the Senior Project Manager, Project Manager or Engineering Department Manager.About Expro:Expro provides services and products that measure. We improve, control and process flow from high-value oil and gas wells, from exploration and appraisal through to mature field production optimisation and enhancement.With a specific focus on offshore, deepwater and other technically challenging environments, we provide a range of mission critical services across three key areas:Well Test &amp; Appraisal ServicesSubsea, Completion &amp; Intervention ServicesProduction ServicesOur vision is to be the market leader in well flow management, using the industry’s best people, to deliver the highest standards of safety, quality and personalised customer service.We provide a range of solutions including:Exploration &amp; Appraisal TestingSubsea Safety SystemsDrilling &amp; CompletionFlowback &amp; Clean-upProductionWell Integrity &amp; InterventionExpro’s 40+ years of experience and innovation empowers the company to offer tailor-made solutions for customers across the energy sector. With over 5,400 employees in over 50 countries, Expro offers a truly global service solution.",1
Human Resources (HR),"As a Human Resources intern at Arumay Real Estate Agency, you will have the opportunity to gain hands-on experience in a fast-paced and dynamic work environment. Your proficiency in MS-Excel and MS-Office, along with strong English speaking skills, will be instrumental in supporting our HR team with various tasks and projects. 

Selected intern's day-to-day responsibilities include:

1. Assist in recruitment processes by posting job listings, screening resumes, and scheduling interviews.
2. Help maintain employee records and documentation, ensuring accuracy and compliance.
3. Support in onboarding new hires, preparing welcome kits.
4. Assist with employee relations activities, such as organizing team-building events and recognition programs.
5. Contribute to HR analytics and reporting by creating and analyzing data in Excel spreadsheets.
6. Help with organizing training and development programs for employees.
7. Support the HR team with day-to-day administrative tasks and projects as needed. 

This internship will provide you with valuable skills and insights into the field of Human Resources, as well as the opportunity to work with a passionate and dedicated team. If you are eager to learn and grow in a supportive and collaborative work environment, we would love to have you on board!",0
Corporate Sales,"Are you passionate about sales and looking to gain hands-on experience in a fast-paced corporate environment? Break The Code is seeking a Corporate Sales intern who is proficient in written and spoken English, as well as skilled in MS-Excel. As an intern, you will have the opportunity to work closely with our sales team, learn valuable skills, and contribute to our growing business.

Key Responsibilities:
1. Assist in identifying and prospecting potential corporate clients
2. Create and maintain sales reports and data using MS-Excel
3. Communicate with clients via phone, email, and in-person meetings
4. Collaborate with the sales team to develop and implement sales strategies
5. Assist in preparing sales presentations and proposals
6. Attend and participate in sales meetings and training sessions

If you are a motivated and enthusiastic individual with a passion for sales, this internship opportunity at Break The Code is perfect for you. Join us and kickstart your career in corporate sales today!",0
Client Relationship Executive,"Are you a communication rockstar looking to kickstart your career in client relations? Look no further! Caimy Enterprises Private Limited is seeking a dynamic client relationship executive intern to join our team. As a key player in our organization, you will have the opportunity to work closely with clients, build strong relationships, and ensure their needs are met. 

Selected intern's day-to-day responsibilities include:

1. Communicate effectively with clients through various channels such as email, phone, and in-person meetings.
2. Assist in the development and implementation of client communication strategies to enhance customer satisfaction.
3. Coordinate with internal teams to address client inquiries and resolve any issues in a timely manner.
4. Maintain accurate records of client interactions and transactions using our CRM system.
5. Collaborate with the sales team to identify opportunities for upselling and cross-selling our products and services.
6. Conduct market research to stay informed on industry trends and competitors.
7. Assist in the preparation of client presentations and reports to showcase our services and capabilities. 

If you are a proactive individual with excellent communication skills and a passion for building relationships, we want to hear from you! Join us at Caimy Enterprises and take the first step towards a successful career in client relations. Apply now!",0
Project Management,"Selected intern's day-to-day responsibilities include: 

1. Assist in coordinating project activities across internal teams, partners, and vendors
2. Support the tracking of project milestones, deliverables, and timelines
3. Help in documenting project progress, preparing status reports, and maintaining records
4. Assist in data entry, research, and compilation of reports for internal and external stakeholders
5. Help prepare presentations, briefs, and communication material for clients and management
6. Support the team in resource planning, scheduling, and task monitoring
7. Maintain and organize files for audit and compliance purposes",0
Social Media Marketing,"Selected intern's day-to-day responsibilities include: 

1. Create PowerPoint presentations for various project categories (residential, hospital, commercial, etc.)
2. Draft and edit marketing content for the website, social media, and promotional materials
3. Collaborate with external agencies to manage NEWMAT India's social media presence
4. Support email marketing activities, including drafting campaign content and sending newsletters to clients  
5. Assist with internal communication
6. Assist in building branding assets and promotional campaigns
7. Use Canva for various project needs like packaging drawings, layout mock-ups, and other design requirements
8. Use Photoshop or Illustrator to create assets in projects",0
Digital Marketing,"Selected intern's day-to-day responsibilities include: 

1. Coordinating and organizing campaign events and outreach.
2. Supporting fundraising and donor engagement activities.
3. Conducting educational workshops and activities for children and youth.
4. Participating in team meetings and reporting progress.
5. Creating awareness content for social media and outreach.",0
